분류,건축구분,대지위치,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),증축연면적(제곱미터),건폐율(퍼센트),용적률(퍼센트),취소구분,허가_신고일,효력상실일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,용도지역,용도지구,용도구역,세대수,호수,가구수,데이터기준일자
건축신고,증축,서울특별시 광진구 자양동 7-17 외1필지,638,209.86,1162.56,48,32.89,153.56,,2019-09-03,,2019-12-10,2020-07-28,5,1,제1종근린생활시설,제2종근린생활시설,일반주거지역,,지구단위계획구역,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 자양동 650-27,683.9,372.15,1488.03,,54.42,154.98,,2019-09-02,,2019-09-09,2019-12-20,5,1,종교시설,교회,도시지역,대공방어협조구역,중점경관관리구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 227-21,223.5,133.6,446.88,,59.78,199.95,,2019-09-02,,2019-09-26,2020-03-18,5,0,공동주택,"다세대주택,(제1종근린생활시설(소매점))",제2종일반주거지역,,,10,1,,2023-01-28
건축신고,증축,서울특별시 광진구 중곡동 91-43,171.2,85.38,406.46,36.86,49.87,170.3,,2019-09-02,,2019-10-08,2019-12-13,4,1,단독주택,근린생활시설 및 다가구주택(3가구),제2종일반주거지역,,,,,3,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 357-7,179,88.33,376.7,,49.35,210.44,,2019-08-30,,2019-10-02,2020-05-20,5,0,단독주택,다가구주택 ,도시지역,대공방어협조구역,학교환경위생정화구역,,,5,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 50-19,235.7,140.64,464.92,,59.67,197.25,,2019-08-29,,2019-10-29,2020-05-15,5,0,공동주택,다세대주택,도시지역,대공방어협조구역,학교환경위생정화구역,9,,,2023-01-28
건축허가,대수선,서울특별시 광진구 자양동 614,410.5,245.72,1498.4,,59.86,281.4,,2019-08-28,,2020-07-27,2020-12-15,6,1,제1종근린생활시설,다세대주택,도시지역,대공방어협조구역,,5,,,2023-01-28
건축허가,신축,서울특별시 광진구 화양동 427-2,105.8,54.05,215.5,,51.09,160.05,,2019-08-23,,2019-10-10,2020-04-13,5,1,공동주택,"다세대주택(3세대),근린생활시설",제2종일반주거지역,,,3,1,,2023-01-28
건축허가,대수선,서울특별시 광진구 화양동 1 외31필지,460443.2,79346.7,434581.12,,17.23,77.27,,2019-08-22,,2019-08-23,2019-08-28,8,1,교육연구시설,,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 150-140 외1필지,219,130.11,436.96,,59.41,199.53,,2019-08-22,,2019-08-29,2020-02-03,5,0,공동주택,근린생활시설/다세대주택,도시지역,,학교환경위생정화구역,11,1,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 107-54,238,142.68,427.02,,59.95,179.42,,2019-08-21,,2019-09-19,2020-04-08,4,0,단독주택,다가구주택 및 노유자시설(어린이집),제2종일반주거지역,,중점경관관리구역,,,7,2023-01-28
건축신고,증축,서울특별시 광진구 중곡동 221-5 외1필지,503.42,252.84,1157.61,1157.61,50.22,165.02,,2019-08-21,,2019-08-29,2019-10-28,4,1,제1종근린생활시설,및주택,제2종일반주거지역,,지구단위계획구역,,1,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 80-23,438.7,196.64,736.39,,44.82,167.86,,2019-08-20,,2019-12-27,,5,0,제2종근린생활시설,및 제1종근린생활시설,도시지역,대공방어협조구역,,,5,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 227-217,332.9,164.13,885,,49.3,197.21,,2019-08-19,,,2019-08-20,4,1,제2종근린생활시설,다중생활시설 (고시원-28실),제3종일반주거지역,중심지미관지구,,,28,,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 358-6,179,89.25,324.36,,49.86,181.21,,2019-08-16,,2019-09-03,2020-01-30,5,0,공동주택,다세대주택,도시지역,,지구단위계획구역,10,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 능동 283-6,335.5,198.72,1174.51,,59.23,277.58,취소,2019-08-09,,,,5,1,제2종근린생활시설,"노유자시설,주택",제2종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 30-6,112.6,67.38,148.47,,59.84,131.86,,2019-08-09,,2019-09-17,2020-02-21,3,0,단독주택,,도시지역,,,1,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 634-21,152.5,91.26,304.55,,59.84,199.7,,2019-08-06,,2019-11-05,2021-01-18,5,0,단독주택,다가구주택5가구. 근린생활시설,제2종일반주거지역,,,,2,5,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 627 외2필지,629.3,367.7,2308.64,,58.43,303.43,,2019-08-05,,,2019-09-06,6,1,의료시설,,준주거지역,,제1종지구단위계획구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 화양동 495-16,278,178.25,363.6,,64.12,122.08,,2019-08-02,,,,2,1,단독주택,소매점,제3종일반주거지역,,,,,1,2023-01-28
건축허가,증축,서울특별시 광진구 구의동 668-4,1193,682.81,3133.75,105.28,57.23,165.2,,2019-08-01,,2019-08-30,2019-11-05,5,2,종교시설,교회,제2종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 357-6,179,89.23,361.84,,49.85,202.15,,2019-08-01,,2019-08-13,2020-01-31,5,0,공동주택,다세대주택 및 근린생활시설,제3종일반주거지역,,지구단위계획구역,6,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 군자동 254,230.7,103.05,200.37,,44.6684,86.8531,,2019-07-30,,,,2,,단독주택,,제1종일반주거지역,,,,,1,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 173-6,305.3,176.28,627.83,,57.7399,205.6436,,2019-07-25,,,2019-08-12,5,,제2종근린생활시설,사무실,,,,,,1,2023-01-28
건축허가,신축,서울특별시 광진구 능동 257-16,156.54,88.99,260.04,,56.85,149.63,,2019-07-24,,2019-08-17,2020-03-09,4,0,공동주택,"다세대주택,제2종근린생활시설(일반음식점)",제1종일반주거지역,고도지구,,8,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 243-76,609.6,321.72,2691.79,,52.78,355.93,취소,2019-07-24,,,,12,1,업무시설,"오피스텔,공동주택.근린생활시설",도시지역,대공방어협조구역,지구단위계획구역,27,48,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 613-4,167.6,99.78,334.78,,59.53,199.75,,2019-07-23,,2019-07-30,2020-02-07,5,0,제1종근린생활시설,근생시설/다가구주택,제2종일반주거지역,,,,,6,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 37-1,131.4,74.95,267.4,,57.04,149.92,,2019-07-23,,2019-07-31,2020-02-07,4,1,공동주택,도시형생활주택-단지형다세대,제1종일반주거지역,,,7,,,2023-01-28
건축허가,대수선,서울특별시 광진구 구의동 203-5,620.82,212,1264,,34.15,170.74,,2019-07-22,,2019-10-14,2020-01-10,,,노유자시설,노인복지시설,제3종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 296-45,140.2,81.39,207.08,,58.05,147.7,,2019-07-22,,2020-02-20,2020-09-02,4,0,단독주택,다가구주택(5가구)및제1종근린생활시설,제1종일반주거지역,,,,1,5,2023-01-28
건축허가,신축,서울특별시 광진구 화양동 111-37 외6필지,648,388.47,2983.54,,59.95,355.4,,2019-07-19,,2020-12-17,,8,2,업무시설,오피스텔,준주거지역,,지구단위계획구역,,92,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 612-62,140.1,106.71,207,,76.167,126.1884,,2019-07-16,,,,2,1,제2종근린생활시설,사무소,도시지역,대공방어협조구역,지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 5-27,162,96.45,315.98,,59.54,195.04,,2019-07-16,,2019-08-09,2019-11-22,4,0,제2종근린생활시설,일반음식점.사무소,제2종일반주거지역,,,,4,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 204-25 외1필지,651.2,389.78,1237.78,,59.86,185.56,,2019-07-12,,2019-10-17,2020-10-26,6,1,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,대공방어협조구역,학교환경위생정화구역,20,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 75-52 외1필지,227.93,136.68,341.52,,59.97,149.84,,2019-07-08,,2019-09-25,2020-03-31,4,0,공동주택,다세대주택,도시지역,,,8,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 9-10,125,73.83,249.6,,59.064,199.68,,2019-07-08,,2019-08-29,2020-03-30,4,0,제2종근린생활시설,일반음식점,제2종일반주거지역,,,,,,2023-01-28
건축신고,증축,서울특별시 광진구 화양동 21-49,472.4,231.66,979.7,5.83,49.04,158.47,,2019-07-08,,2019-07-19,2019-08-21,4,1,제1종근린생활시설,"점포,사무실",도시지역,,지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 군자동 373 외3필지,655,279.08,440.79,,42.61,67.3,,2019-07-05,,2019-12-06,2020-03-25,2,0,제1종근린생활시설,"휴게음식점, 제2종근린생활시설(사무소)",제2종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 626-1 외1필지,288,166.32,575.88,,57.75,199.96,,2019-07-04,,2019-07-09,2020-01-16,6,0,공동주택,도시형생활주택(단지형다세대),제2종일반주거지역,,,10,,,2023-01-28
건축신고,발코니구조변경,서울특별시 광진구 자양동 855,9332,3310.11,57938.5,,35.4705,389.9219,,2019-07-03,,2019-07-03,,25,3,공동주택,,,,,260,49,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 193-1,175,102.55,319.95,,58.6,182.83,,2019-07-01,,2019-08-07,2020-03-02,5,0,제2종근린생활시설,사무소,도시지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 838-3,214,126.9,446.43,,59.29,188.63,,2019-06-28,,2019-10-31,2020-03-09,5,0,공동주택,다세대주택(8세대)및사무소,제2종일반주거지역,,,8,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 232-27 외1필지,162.4,96.4,320.74,,59.36,197.5,,2019-06-27,,2019-09-02,2020-01-20,5,0,단독주택,근생 및 다가구주택,도시지역,,,,,6,2023-01-28
건축신고,용도변경,서울특별시 광진구 구의동 253-36,757.3,277.56,1011.28,,36.65,105.24,,2019-06-27,,,,3,1,제2종근린생활시설,학원,제3종일반주거지역,,지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 246-54 외1필지,251.6,149.26,541.88,,59.32,198.18,,2019-06-26,,2019-08-06,2020-01-22,6,1,공동주택,도시형 생활주택(단지형다세대 주택 10세대),도시지역,,,10,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 197-11,328.6,146.3,655.62,,44.52,199.52,,2019-06-24,,2019-09-05,2019-12-31,6,0,공동주택,도시형생활주택(단지형다세대 10세대),도시지역,대공방어협조구역,,10,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 222-2,220.5,131.32,417.37,,59.56,189.28,,2019-06-21,,2020-10-13,,5,0,공동주택,다세대주택/근생,제2종일반주거지역,,,10,,,2023-01-28
건축허가,신축,서울특별시 광진구 능동 147,152,89.48,212.44,,58.87,139.76,,2019-06-21,,2020-03-02,2020-08-10,4,0,단독주택,다가구주택,도시지역,고도지구,,,,4,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 29-20,237.7,140.77,473.61,,59.22,199.25,,2019-06-21,,2019-07-22,2020-01-07,5,0,공동주택,다세대주택 및 제2종근린생활시설,도시지역,,중점경관관리구역,10,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 364-1,169,118.18,260.98,,69.93,142.2,,2019-06-20,,,,2,1,단독주택,"제1종 근린생활시설, 제2종 근린생활시설",도시지역,,가축사육제한구역,,,1,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 201-6,690.6,407.38,3114.02,,58.99,399.55,,2019-06-20,,,,8,1,업무시설,"교육연구시설,근린생활시설",제3종일반주거지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 189-46,275,164.29,549.91,,59.74,199.97,,2019-06-20,,2019-08-08,2020-01-06,5,0,공동주택,도시형생활주택(단지형다세대주택),제2종일반주거지역,,,16,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 166-23,108.2,61.74,211.6,,57.06,195.56,,2019-06-17,,2019-06-21,2019-10-08,5,0,단독주택,단독주택(다가구주택) 및 제2종 근린생활시설(사무소),제2종일반주거지역,,학교환경위생정화구역,,,6,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 241-90,118.08,70.59,235.95,,59.78,199.82,,2019-06-13,,2019-07-02,2019-12-27,5,0,단독주택,다가구주택5가구,도시지역,대공방어협조구역,학교환경위생정화구역,,,5,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 194-2,249.2,148.72,498.07,,59.67,199.86,,2019-06-11,,2019-06-25,2019-12-31,5,0,공동주택,다세대주택,도시지역,,,11,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 340-32,116,69.16,183.81,,59.62,158.46,,2019-06-11,,2019-07-19,2020-02-06,3,0,단독주택,다가구주택(2가구),제1종일반주거지역,,,1,,2,2023-01-28
건축신고,발코니구조변경,서울특별시 광진구 자양동 854,7267.9,1710.55,52666.24,,23.5357,504.6894,,2019-06-11,,2019-06-11,,29,3,공동주택,아파트 외3,,,,51,,204,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 230-26,166.3,96.03,164.13,,57.75,98.7,,2019-06-10,,,,2,,단독주택,단독주택,제2종일반주거지역,,지구단위계획구역,,,1,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 253-36,757.3,277.56,1011.28,,36.6513,105.241,,2019-06-07,,,,3,1,교육연구시설,연구소,제3종일반주거지역,,지구단위계획구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 219-19 외1필지,651.8,263.28,2066.83,,40.39,241.06,,2019-06-05,,,2019-12-13,8,2,제2종근린생활시설,,도시지역,대공방어협조구역,학교환경위생정화구역,1,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 158-36,198.3,113.57,846.19,,57.27,372.91,취소,2019-06-05,,,,9,1,업무시설,오피스텔,도시지역,,지구단위계획구역,,12,,2023-01-28
건축신고,용도변경,서울특별시 광진구 구의동 57-80,287.4,164.69,698.49,,57.3,193.84,,2019-06-05,,,,4,1,제2종근린생활시설,,제3종일반주거지역,중심지미관지구,제1종지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 18-79,144,85.68,245.68,,59.5,170.61,,2019-06-04,,2019-07-04,2019-12-11,4,0,단독주택,다가구 주택,제2종일반주거지역,,지구단위계획구역,,,5,2023-01-28
건축허가,용도변경,서울특별시 광진구 군자동 1-9,224.85,124.5,594.5,,54.99,215.25,,2019-06-03,,,2019-06-27,4,1,제1종근린생활시설,"제2종근린생활시설, 단독주택",제2종일반주거지역,역사문화미관지구,,,,1,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 210-21,188.4,110.16,335.08,,58.47,177.86,,2019-06-03,,2019-07-16,2020-02-11,5,0,공동주택,다세대주택/근린생활시설,제2종일반주거지역,대공방어협조구역,,5,1,,2023-01-28
건축허가,증축,서울특별시 광진구 광장동 353,57033,9213.95,44996.71,183.6,16.16,57.31,,2019-05-30,,2019-07-05,2019-09-17,5,1,교육연구시설,대학교,제1종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 구의동 253-36,757.3,277.56,1011.28,,36.6513,105.241,,2019-05-30,,,,3,1,교육연구시설,연구소,제3종일반주거지역,,지구단위계획구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 627-3,2532.4,1470.05,10033.12,,58.05,310.24,,2019-05-29,,,,7,2,의료시설,,준주거지역,중심지미관지구,제1종지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 119-33,373.2,179.77,958.32,,48.17,248.99,,2019-05-29,,,,6,1,제2종근린생활시설,"소매점,의원,사무실",가로구역별최고높이제한지역,대공방어협조구역,,,,,2023-01-28
건축허가,증축,서울특별시 광진구 자양동 17-9 외2필지,3061.5,1411.17,2974.85,220.72,46.0941,96.5367,,2019-05-27,,2019-07-15,2019-10-11,2,,판매시설,,가로구역별최고높이제한지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 화양동 33-40,,136.1,264.24,,,,,2019-05-22,,,,2,,단독주택,"근린생활시설, 주택",제2종일반주거지역,,,,,2,2023-01-28
건축신고,용도변경,서울특별시 광진구 구의동 202-27,376.9,224.56,1451.64,,59.58,299.87,,2019-05-22,,,,7,1,교육연구시설,"일반음식점,교육연구시설,단독주택",제3종일반주거지역,,,,,1,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 47-23,352.7,208.03,689.41,,58.98,195.47,,2019-05-21,,2019-08-16,2020-07-27,5,0,단독주택,"다가구주택,제1종근린생활시설",제2종일반주거지역,경관지구,,,,11,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 147-136 외1필지,228,117.54,341.67,,51.55,149.86,,2019-05-21,,2019-06-05,2019-11-12,5,0,공동주택,단지형다세대 및 제1종근린생활시설,제1종일반주거지역,,가축사육제한구역,8,1,,2023-01-28
건축허가,용도변경,서울특별시 광진구 중곡동 229-19,146.1,86.21,101.58,,59.01,59.01,,2019-05-17,,,,1,1,제1종근린생활시설,"주택,소매점,일반음식점",제2종일반주거지역,,,,,1,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 612-13,130.46,78.01,229.05,,59.8,175.57,,2019-05-16,,,,5,0,단독주택,"다가구주택(4가구),근린생활시설",제2종일반주거지역,,,,3,4,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 558-8,185,110.16,315.46,,59.55,149.15,,2019-05-15,,2019-05-29,2019-11-01,4,0,공동주택,다세대주택/제1종근린생활시설,제1종일반주거지역,,가축사육제한구역,5,,,2023-01-28
건축신고,발코니구조변경,서울특별시 광진구 중곡동 296-34 외1필지,242.3,143.19,363.23,,59.1,149.91,,2019-05-13,,2019-05-15,2019-05-16,5,,공동주택,도시형생활주택 단지형다세대,제1종일반주거지역,,,8,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 227-20 외1필지,425.6,174.74,1206.46,,41.06,248.73,,2019-05-10,,2019-05-16,2020-02-24,7,1,제2종근린생활시설,"(소매점,사무소)",제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 능동 236-1,716.7,356.46,1595.55,,49.74,192.16,,2019-05-09,,,,4,1,제2종근린생활시설,"근린생활시설, 업무시설(사무실), 점포",제3종일반주거지역,,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 165-9 외1필지,512.4,245.55,1398.41,,47.92,199.66,,2019-05-08,,2019-05-29,2020-02-06,7,1,공동주택,다세대/근린생활시설,도시지역,경관지구기타,지구단위계획구역,10,,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 243-42,130.2,61.74,477.67,,47.42,337.56,,2019-05-03,,2019-10-10,2020-05-15,10,1,제2종근린생활시설,사무소,준주거지역,재정비촉진지구,지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 능동 254-12,121.3,66.3,175.47,,54.66,144.65,,2019-04-29,,,,3,0,단독주택,"(다가구주택), 제1종근린생활시설",도시지역,,,,,3,2023-01-28
건축신고,발코니구조변경,서울특별시 광진구 자양동 510-5 외3필지,3737,1502.46,28995.6,,40.2,472.13,,2019-04-26,,2019-05-03,2019-06-21,26,4,공동주택,,준주거지역,,지구단위계획구역,146,,0,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 69-1,434.9,215.53,1417.76,,49.56,249.85,,2019-04-22,,2019-06-28,2020-04-27,7,1,공동주택,다세대주택 및 오피스텔 및 근린생활시설,제3종일반주거지역,,,12,6,,2023-01-28
건축허가,용도변경,서울특별시 광진구 화양동 48-3,1123.3,557.31,3558.48,,49.6136,232.1223,,2019-04-15,,,2019-04-17,5,1,업무시설,근린생활시설,가로구역별최고높이제한지역,중심지미관지구,학교환경위생정화구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 능동 242-6,161.9,97.05,239.92,,59.94,148.19,,2019-04-15,,,,4,0,단독주택,다가구주택(5가구),제1종일반주거지역,,,,,5,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 220-74,142.5,83.88,284.11,,58.86,199.38,,2019-04-15,,2020-05-22,2020-11-13,5,0,단독주택,다가구주택,제2종일반주거지역,,지구단위계획구역,,,5,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 147-75 외1필지,365,218.85,547.07,,59.96,149.88,,2019-04-11,,2019-05-30,2020-01-22,4,0,단독주택,"단독주택(다가구주택), 근린생활시설(사무소)",도시지역,대공방어협조구역,학교환경위생정화구역,,,2,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 29-3,200.7,82.03,513.17,,40.87,196.02,,2019-04-11,,2020-09-17,,7,1,제1종근린생활시설,,도시지역,미관지구기타,지구단위계획구역,1,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 254-58 외1필지,193.8,112.08,386.48,,57.83,199.42,,2019-04-11,,2019-05-24,2019-10-08,5,0,단독주택,다가구주택,제2종일반주거지역,,,,,8,2023-01-28
건축허가,용도변경,서울특별시 광진구 능동 220-4,558,272,1341.4,,48.7455,192.509,,2019-04-10,,,,4,1,제2종근린생활시설,,도시지역,중심지미관지구,지구단위계획구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 91-55,209.9,125.54,441,,59.81,198.89,,2019-04-10,,2019-07-01,2019-11-25,6,1,공동주택,"도시형생활주택단지형다세대,제1종근린생활시설",제2종일반주거지역,,중점경관관리구역,9,2,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 218-11,1077,450.94,7782.03,,41.87,247.87,,2019-04-10,,2019-11-29,,8,6,제2종근린생활시설,일반음식점,도시지역,,,,,,2023-01-28
건축허가,대수선,서울특별시 광진구 자양동 180-4,796,236.32,454.79,,29.69,57.13,,2019-04-09,,2019-07-23,,2,1,제2종근린생활시설,,제3종일반주거지역,일반미관지구,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 49-22,167.4,99.99,333,,59.73,198.92,,2019-04-09,,,,5,0,공동주택,도시형생활주택단지형다세대,제2종일반주거지역,,,8,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 193-6 외1필지,255,152.65,499.34,,59.86,195.82,,2019-04-08,,2019-06-03,2020-01-28,5,0,공동주택,다세대주택,제2종일반주거지역,,학교환경위생정화구역,14,,,2023-01-28
건축신고,용도변경,서울특별시 광진구 자양동 238-10,670,333.46,2487.64,,49.77,297.94,,2019-04-08,,,,7,1,교육연구시설,"업무시설,제1,2종근린생활시설",제2종일반주거지역,,가축사육제한구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 능동 385-2 외1필지,101,52.87,180.78,,52.35,130.06,,2019-04-05,,,,4,1,단독주택,"다가구주택, 근린생활시설",제1종일반주거지역,고도지구,,,,2,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 150-233,304,181.93,642.09,,59.85,199.92,,2019-04-04,,2019-10-21,2020-05-21,6,1,공동주택,도시형생활주택(단지형다세대) 및 제1종근린생활시설(소매점) ,제2종일반주거지역,,,16,1,,2023-01-28
건축허가,신축,서울특별시 광진구 광장동 277-12 외3필지,357,209.55,929.54,,58.7,198.67,,2019-04-04,,,,5,1,제2종근린생활시설,"휴게음식점, 사무소",제2종일반주거지역,,중점경관관리구역,,,,2023-01-28
건축신고,증축,서울특별시 광진구 자양동 13-28,988.1,542.09,1840.73,69.8,54.86,178.06,,2019-04-04,,,2019-11-21,5,1,업무시설,공공업무시설,도시지역,대공방어협조구역,학교환경위생정화구역,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 120-24,292.9,175.42,775.62,,59.89,199.17,,2019-04-03,,2019-08-16,2020-04-08,4,1,제2종근린생활시설,사무실,제2종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 자양동 78-23,99,54.2,152.5,,54.74,99.79,,2019-04-01,,,,2,1,단독주택,다가구주택,도시지역,대공방어협조구역,중점경관관리구역,,,4,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 639-16,191.1,110.96,727.07,,58.06,358.23,,2019-03-28,,2020-08-12,,8,1,업무시설,"오피스텔,단독주택, 2종근생(일반음식점)",,,지구단위계획구역,,,1,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 71-6 외1필지,813.9,306.72,2084.93,,37.69,249.8,,2019-03-28,,2019-06-11,2020-05-21,11,1,공동주택,아파트 및 근린생활시설,도시지역,,학교환경위생정화구역,29,1,,2023-01-28
건축허가,신축,서울특별시 광진구 구의동 66-72 외1필지,354.4,212.21,945.41,,59.88,198.24,,2019-03-27,,2020-01-15,2021-01-05,4,1,제2종근린생활시설,"사무소, 의원, 휴게음식점, 학원",제2종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 화양동 49-18,538.5,199.2,1195.2,,36.99,181.89,,2019-03-26,,,,5,1,제2종근린생활시설,업무시설,제3종일반주거지역,,,,,,2023-01-28
건축허가,용도변경,서울특별시 광진구 화양동 111-102,837,500.42,8133.83,,59.7873,798.4146,,2019-03-26,,,2019-03-27,20,3,공동주택,"도시형생활주택(원룸형),업무시설(오피스텔),근린생활시설",,,,162,,0,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 257-2,323.6,193.93,564.36,,59.93,174.4,,2019-03-26,,2019-04-11,2019-08-22,5,0,공동주택,"다세대주택,제2종근린생활시설",도시지역,,가축사육제한구역,16,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 684-19,158.4,93.45,250.29,,59,158.01,,2019-03-26,,2019-04-12,2020-02-25,5,0,공동주택,다세대주택,제2종일반주거지역,대공방어협조구역,중점경관관리구역,6,,,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 656-27,135.3,80.95,268.74,,59.83,198.62,,2019-03-26,,2019-05-02,2020-02-13,5,0,단독주택,"다가구주택, 근린생활시설",제2종일반주거지역,대공방어협조구역,학교환경위생정화구역,,3,5,2023-01-28
건축허가,신축,서울특별시 광진구 자양동 800-3,256.2,153.44,510.74,,59.89,199.35,,2019-03-26,,2019-12-27,2020-07-09,5,0,공동주택,도시형생활주택(단지형다세대),도시지역,대공방어협조구역,학교환경위생정화구역,8,1,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 210-1,356.94,208.58,713.73,,58.4356,199.958,,2019-03-26,,,,5,0,공동주택,다세대,도시지역,,일반주거지역,11,,,2023-01-28
건축허가,증축,서울특별시 광진구 중곡동 181-1 외1필지,369.26,184.38,737.52,418.15,49.93,199.73,,2019-03-25,,2019-06-03,2019-12-27,4,,제1종근린생활시설,소매점,도시지역,,,,,,2023-01-28
건축신고,증축,서울특별시 광진구 화양동 42-18,508.4,174.72,414.1,15.96,34.36,81.45,,2019-03-25,,2019-03-26,2019-04-22,1,,제2종근린생활시설,일반음식점,제3종일반주거지역,일반미관지구,,,,,2023-01-28
건축허가,신축,서울특별시 광진구 중곡동 50-1,266.4,153.06,553.88,,57.45,199.79,,2019-03-22,,2019-05-07,2019-10-16,6,1,공동주택,"도시형생활주택 단지형다세대, 제1종근린생활시설",도시지역,대공방어협조구역,학교환경위생정화구역,10,,,2023-01-28
건축허가,신축,서울특별시 광진구 능동 224-17,183.5,109.81,265.64,,59.842,144.7629,,2019-03-22,,,,4,0,단독주택,"다가구주택, 근린생활시설",도시지역,대공방어협조구역,,,,5,2023-01-28
